filter1,kernel1,dropout_c1,filter2,kernel2,filter3,kernel3,dropout_c3,hidden_conv,ray/tune/_metric
16.0,5.0,0.28,16.0,7.0,64.0,9.0,0.48,82.0,0.21319139003753662
16.0,9.0,0.46,64.0,3.0,32.0,7.0,0.38,67.0,0.21431761980056763
16.0,3.0,0.44,32.0,7.0,16.0,9.0,0.5,124.0,0.21108770370483398
32.0,11.0,0.38,64.0,5.0,32.0,3.0,0.48,43.0,0.20899225771427155
16.0,7.0,0.46,32.0,5.0,16.0,11.0,0.3,103.0,0.20971691608428955
16.0,3.0,0.4,64.0,9.0,16.0,5.0,0.48,90.0,0.21476580202579498
64.0,7.0,0.18,16.0,7.0,16.0,7.0,0.42,47.0,0.2028706669807434
16.0,7.0,0.2,32.0,11.0,32.0,5.0,0.4,126.0,0.21083039045333862
16.0,7.0,0.42,64.0,7.0,16.0,9.0,0.36,136.0,0.21239154040813446
32.0,5.0,0.34,16.0,3.0,32.0,3.0,0.26,22.0,0.20918087661266327
32.0,3.0,0.4,16.0,7.0,32.0,5.0,0.38,24.0,0.21223746240139008
16.0,3.0,0.42,32.0,5.0,64.0,7.0,0.44,80.0,0.20498965680599213
64.0,5.0,0.46,16.0,7.0,64.0,7.0,0.46,106.0,0.21178384125232697
32.0,3.0,0.36,64.0,7.0,32.0,5.0,0.48,135.0,0.21225690841674805
64.0,5.0,0.5,32.0,9.0,16.0,3.0,0.44,108.0,0.21189568936824799
16.0,7.0,0.44,16.0,11.0,32.0,9.0,0.42,87.0,0.21439214050769806
32.0,3.0,0.42,16.0,5.0,64.0,5.0,0.38,37.0,0.21439051628112793
32.0,7.0,0.14,16.0,9.0,32.0,3.0,0.46,57.0,0.20582596957683563
16.0,7.0,0.5,32.0,9.0,16.0,3.0,0.14,17.0,0.21412870287895203
16.0,7.0,0.38,32.0,9.0,32.0,3.0,0.28,141.0,0.2129552960395813
16.0,3.0,0.3,16.0,7.0,16.0,7.0,0.34,76.0,0.21148931980133057
16.0,5.0,0.36,16.0,5.0,32.0,7.0,0.38,121.0,0.20241013169288635
16.0,11.0,0.32,16.0,3.0,32.0,3.0,0.4,96.0,0.20263317227363586
16.0,11.0,0.06,32.0,5.0,16.0,11.0,0.32,52.0,0.21353740990161896
32.0,3.0,0.3,64.0,11.0,16.0,5.0,0.38,100.0,0.21195968985557556
32.0,7.0,0.24,16.0,11.0,64.0,5.0,0.1,23.0,0.19754672050476074
64.0,5.0,0.3,16.0,3.0,16.0,5.0,0.44,141.0,0.2051265388727188
32.0,11.0,0.48,16.0,9.0,32.0,3.0,0.18,20.0,0.20382100343704224
16.0,7.0,0.5,32.0,9.0,16.0,7.0,0.38,120.0,0.2100633680820465
32.0,3.0,0.4,32.0,5.0,32.0,7.0,0.48,76.0,0.21042324602603912
64.0,5.0,0.5,32.0,3.0,32.0,11.0,0.48,112.0,0.2121477574110031
16.0,7.0,0.36,64.0,7.0,16.0,9.0,0.26,27.0,0.21489059925079346
32.0,3.0,0.44,16.0,11.0,16.0,3.0,0.48,112.0,0.20425884425640106
16.0,7.0,0.24,64.0,3.0,16.0,7.0,0.5,146.0,0.21001286804676056
16.0,9.0,0.46,64.0,9.0,32.0,7.0,0.32,130.0,0.21057476103305817
16.0,5.0,0.12,64.0,5.0,64.0,7.0,0.44,149.0,0.20892736315727234
16.0,3.0,0.42,16.0,3.0,32.0,7.0,0.12,147.0,0.2113315612077713
16.0,9.0,0.36,16.0,3.0,16.0,5.0,0.04,88.0,0.20047920942306519
64.0,7.0,0.5,16.0,5.0,32.0,11.0,0.24,37.0,0.20921866595745087
64.0,7.0,0.22,16.0,7.0,32.0,5.0,0.4,31.0,0.20982001721858978
32.0,3.0,0.46,64.0,11.0,16.0,5.0,0.46,56.0,0.21238556504249573
32.0,11.0,0.5,32.0,7.0,32.0,3.0,0.04,139.0,0.20356519520282745
64.0,3.0,0.38,16.0,11.0,32.0,3.0,0.08,144.0,0.21457737684249878
32.0,11.0,0.34,16.0,3.0,32.0,5.0,0.48,91.0,0.21463531255722046
16.0,11.0,0.12,16.0,3.0,64.0,7.0,0.36,119.0,0.20211094617843628
32.0,9.0,0.4,16.0,5.0,32.0,9.0,0.4,109.0,0.21314536035060883
32.0,5.0,0.14,32.0,3.0,32.0,3.0,0.44,110.0,0.19924229383468628
16.0,9.0,0.16,16.0,7.0,32.0,3.0,0.2,97.0,0.21186235547065735
32.0,5.0,0.32,16.0,11.0,64.0,3.0,0.46,38.0,0.21232563257217407
32.0,11.0,0.44,32.0,7.0,16.0,11.0,0.46,35.0,0.2126951664686203
32.0,3.0,0.04,16.0,3.0,16.0,9.0,0.32,74.0,0.21476028859615326
32.0,5.0,0.5,64.0,7.0,64.0,11.0,0.42,16.0,0.2090267390012741
16.0,5.0,0.3,64.0,7.0,32.0,9.0,0.28,95.0,0.21257048845291138
16.0,5.0,0.4,64.0,5.0,16.0,5.0,0.46,113.0,0.2038656324148178
64.0,9.0,0.3,16.0,5.0,32.0,3.0,0.5,20.0,0.21447961032390594
64.0,3.0,0.44,16.0,7.0,16.0,7.0,0.48,150.0,0.2096100151538849
